a,b,h,l,S11
12.8,13.2,4,24,-31.52382578
12.8,13.2,4,24.5,-35.19214733
12.8,13.2,4,25,-29.73419327
12.8,13.2,4,25.5,-28.7421022
12.8,13.2,4,26,-31.68792102
13,13.2,4,23,-27.16772337
13,13.2,4,23.5,-29.66149793
13,13.2,4,24,-31.00445176
13,13.2,4,24.5,-31.51547014
13,13.2,4,25,-28.48805008
13,13.2,4,25.5,-39.39313488
13,13.2,4,26,-31.98090668
13.2,13.2,4,23,-23.45170932
13.2,13.2,4,23.5,-23.3708801
13.2,13.2,4,24,-28.16561161
13.2,13.2,4,24.5,-31.0014956
13.2,13.2,4,25,-29.15734635
13.2,13.2,4,25.5,-30.82314489
13.2,13.2,4,26,-28.763409
13.4,13.2,4,23,-21.0988375
13.4,13.2,4,23.5,-26.29025151
13.4,13.2,4,24,-35.78066512
13.4,13.2,4,24.5,-26.72357516
13.4,13.2,4,25,-28.99449986
13.4,13.2,4,25.5,-32.93073566
13.4,13.2,4,26,-26.90845326
13.6,13.2,4,23,-19.93036097
13.6,13.2,4,23.5,-24.91880274
13.6,13.2,4,24,-33.54145891
13.6,13.2,4,24.5,-29.65929785
13.6,13.2,4,25,-30.29568796
13.6,13.2,4,25.5,-28.03868072
13.6,13.2,4,26,-33.1746651
13.8,13.2,4,23,-20.04266457
13.8,13.2,4,23.5,-23.90915006
13.8,13.2,4,24,-32.475761
13.8,13.2,4,24.5,-30.3147955
13.8,13.2,4,25,-30.54885034
13.8,13.2,4,25.5,-28.3422025
13.8,13.2,4,26,-31.67940211
14,13.2,4,23,-20.02575429
14,13.2,4,23.5,-25.18945198
14,13.2,4,24,-31.98776625
14,13.2,4,24.5,-30.27420514
14,13.2,4,25,-34.95058989
14,13.2,4,25.5,-30.44083278
14,13.2,4,26,-28.32420494
12,13.4,4,23,-47.76830422
12,13.4,4,23.5,-30.45340886
12,13.4,4,24,-36.98903608
12,13.4,4,24.5,-27.43120222
12,13.4,4,25,-32.8352425
12,13.4,4,25.5,-28.69901013
12,13.4,4,26,-44.74911527
12.2,13.4,4,23,-37.0938593
12.2,13.4,4,23.5,-38.62170945
12.2,13.4,4,24,-42.60636383
12.2,13.4,4,24.5,-30.75864528
12.2,13.4,4,25,-47.15530069
12.2,13.4,4,25.5,-47.471357
12.2,13.4,4,26,-31.78873913
12.4,13.4,4,23,-39.87944208
12.4,13.4,4,23.5,-31.97532175
12.4,13.4,4,24,-31.34110908
12.4,13.4,4,24.5,-36.3936483
12.4,13.4,4,25,-31.40203383
12.4,13.4,4,25.5,-28.86090793
12.4,13.4,4,26,-30.15398593
12.6,13.4,4,23,-48.56742464
12.6,13.4,4,23.5,-34.99753336
